jurisdiction_id,jurisdiction,state,state_name,level,source,source_url,license,notes,mw_1938,mw_1939,mw_1940,mw_1941,mw_1942,mw_1943,mw_1944,mw_1945,mw_1946,mw_1947,mw_1948,mw_1949,mw_1950,mw_1951,mw_1952,mw_1953,mw_1954,mw_1955,mw_1956,mw_1957,mw_1958,mw_1959,mw_1960,mw_1961,mw_1962,mw_1963,mw_1964,mw_1965,mw_1966,mw_1967,mw_1968,mw_1969,mw_1970,mw_1971,mw_1972,mw_1973,mw_1974,mw_1975,mw_1976,mw_1977,mw_1978,mw_1979,mw_1980,mw_1981,mw_1982,mw_1983,mw_1984,mw_1985,mw_1986,mw_1987,mw_1988,mw_1989,mw_1990,mw_1991,mw_1992,mw_1993,mw_1994,mw_1995,mw_1996,mw_1997,mw_1998,mw_1999,mw_2000,mw_2001,mw_2002,mw_2003,mw_2004,mw_2005,mw_2006,mw_2007,mw_2008,mw_2009,mw_2010,mw_2011,mw_2012,mw_2013,mw_2014,mw_2015,mw_2016,mw_2017,mw_2018,mw_2019,mw_2020,mw_2021,mw_2022,mw_2023,mw_2024,mw_2025
US-OK,Oklahoma,OK,Oklahoma,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-OR,Oregon,OR,Oregon,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,6.9,7.05,7.25,7.5,7.8,7.95,8.4,8.4,8.5,8.8,8.95,9.1,9.25,9.75,10.25,10.75,11.25,12.0,12.75,13.5,13.5,14.7,15.25
US-PA,Pennsylvania,PA,Pennsylvania,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-RI,Rhode Island,RI,Rhode Island,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,3.85,3.85,3.85,3.85,3.85,3.85,5.65,5.65,5.65,6.15,6.15,6.15,6.15,6.75,6.75,7.1,7.4,7.4,7.4,7.4,7.4,7.4,7.75,8.0,9.0,9.6,9.6,9.6,10.5,11.5,12.25,13.0,14.0,15.0,15.0
US-SC,South Carolina,SC,South Carolina,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-SD,South Dakota,SD,South Dakota,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,8.5,8.55,8.65,8.85,9.1,9.3,9.45,9.95,10.8,11.2,11.2
US-TN,Tennessee,TN,Tennessee,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-TX,Texas,TX,Texas,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-UT,Utah,UT,Utah,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-VA,Virginia,VA,Virginia,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,7.25,9.5,11.0,12.0,12.41,13.5
US-VT,Vermont,VT,Vermont,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.75,6.25,6.25,6.25,7.0,7.0,7.25,7.53,7.68,8.06,8.06,8.15,8.46,8.6,8.73,9.15,9.6,10.0,10.5,10.96,11.75,12.55,13.18,13.67,14.01,14.01
US-WA,Washington,WA,Washington,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,6.5,6.72,6.9,7.01,7.16,7.35,7.63,7.93,8.07,8.55,8.55,8.67,9.04,9.19,9.32,9.47,9.53,11.0,11.5,12.0,13.5,13.69,14.49,15.74,16.28,16.66
US-WI,Wisconsin,WI,Wisconsin,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-WV,West Virginia,WV,West Virginia,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,8.0,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
US-WY,Wyoming,WY,Wyoming,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
LOCAL-AZ-021,"Flagstaff, AZ",AZ,Arizona,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2016. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
LOCAL-AZ-066,"Tucson, AZ",AZ,Arizona,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2021. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,13.5,14.25,15.0,15.0
LOCAL-CA-001,"Alameda, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2018. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-004,"Belmont, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2017. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,13.5,15.0,15.9,15.9,15.9,15.9,15.9,15.9
LOCAL-CA-005,"Berkeley, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2016. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-010,"Burlingame, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2020. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-013,"Cupertino, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2016. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,13.5,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-014,"Daly City, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2019. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-016,"East Palo Alto, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2020. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-018,"El Cerrito, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2015. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.25,13.6,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-019,"Emeryville, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2015. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
LOCAL-CA-022,"Foster City, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2022. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,16.5,16.5,16.5
LOCAL-CA-023,"Freemont, CA7",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2019. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-024,"Half Moon Bay, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2020. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-025,"Hayward, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2020. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,13.0,13.0,13.0,13.0
LOCAL-CA-029,"Los Altos, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2016. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,13.5,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-030,"Los Angeles, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2015. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,13.25,14.25,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-032,"Malibu, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2016. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,13.25,14.25,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-033,"Menlo Park, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2019. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-034,"Milpitas, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2017. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-037,"Mountain View, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2015. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-038,"Novato, CA22",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2019. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-039,"Oakland, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2014. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
LOCAL-CA-040,"Palo Alto, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2015. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,13.5,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-041,"Pasadena, CA 25",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2016. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,13.25,14.25,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-042,"Petaluma, CA27",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2019. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,12.0,12.0,12.0,12.0
LOCAL-CA-045,"Redwood City, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2018. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
LOCAL-CA-047,"Richmond, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2014. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,11.52,12.3,13.41,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-050,"San Carlos, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2020. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-051,"San Diego, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2014. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
